gene,module
MYH11,25
CNN1,25
EMP2,26
REPS1,26
ZBTB16,26
TKFC,27
PKLR,27
DNMT3L,27
PGK1,28
IRAK1,28
ENO1,28
FCRL6,29
CD160,29
TRDC,29
RPS8,30
RPS7,30
CAB39,31
COPB2,31
PMEPA1,32
BICC1,32
DTX3L,33
PARP9,33
CCL21,34
CCL19,34
NFS1,35
HYAL1,35
CXCL8,36
CXCL1,36
HSPA13,37
UBE2J1,37
HMGCS2,38
ACAA1,38
CYP4X1,39
CYP4Z1,39
ACSS2,40
ACAT2,40
EGR2,41
CD83,41
FNIP2,42
ADGRA3,42
MORC3,43
SIRT1,43
GSTM4,44
GSTM2P1,44
CD69,45
RGS1,45
AKR1B10,46
AKR1B15,46
HLA-DQA1,47
HLA-DQB1,47
BANK1,48
MS4A1,48
CYP1A1,49
CYP1A2,49
KLKB1,50
F11,50
ACSM3,51
ALAD,51
CLEC4G,52
CLEC4M,52
HEPACAM,53
HEPN1,53
SAA1,54
SAA2,54
FPR2,55
FPR1,55
ADH6,56
ADH4,56
DDTL,57
MIF,57
KDM6A,58
XIST,58
FADS2,59
FADS1,59
