gene,module
ZNF92,3
CXCL16,3
CHSY1,3
ANXA5,3
FAP,3
PSMB9,4
HLA-DRA,4
HLA-DRB1,4
HLA-DPA1,4
PSMB8,4
HLA-F,4
HCP5,4
HLA-DQA1,4
CD74,4
GBP5,4
TAP1,4
BTN3A2,4
HLA-DOA,4
BTN3A3,4
HLA-B,4
IRF1,4
UBE2L6,4
PARP14,4
TAP2,4
RTP4,4
GBP1,4
PSME1,4
STAT1,4
APOL1,4
PARP12,4
PSME2,4
MX1,4
ISG15,4
IFI6,4
IFI44,4
IFI44L,4
OAS3,4
RSAD2,4
DDX60,4
BTN3A1,4
CXCL9,4
CXCL10,4
HLA-E,4
WARS,4
CXCL11,4
GBP4,4
GBP7,4
IDO1,4
OAS2,4
PARP9,4
APOL3,4
IRF7,4
XAF1,4
IFIT2,4
IFIT3,4
SAMD9L,4
IFIH1,4
CMPK2,4
EPSTI1,4
DDX58,4
CYFIP2,5
MFSD4,5
ESRRG,5
KNG1,5
TMEM72,5
DUSP9,5
F11,5
NELL1,5
FGF9,5
CLCN5,5
RALYL,5
FOXC1,5
OCLN,5
SIM2,5
NRK,5
MUC15,5
HS6ST2,5
SLC12A1,5
UMOD,5
KCNJ10,5
ESRP1,5
MECOM,5
EHF,5
UGT8,5
HOXB6,5
LNX1,5
RANBP3L,5
KCNJ1,5
TFAP2B,5
FECH,5
IRX1,5
CASR,5
SUSD4,5
IRX2,5
EGF,5
PRSS35,5
GP2,5
CLDN19,5
MARVELD2,5
CLCNKA,5
WNK4,5
PLCB1,5
CLCNKB,5
CLDN10,5
FAM184A,5
IRX5,5
HRG,5
LYPD6B,5
HSD11B2,6
INPP5J,6
RHCG,6
TMPRSS2,6
ATP6V0A4,6
CLDN8,6
TMEM213,6
SCNN1B,6
SCNN1G,6
NEDD4L,6
SLC4A1,6
HEPACAM2,6
CA2,6
FOXI1,6
ATP6V0D2,6
ATP6V1C2,6
OXGR1,6
RHBG,6
ATP6V1G3,6
SLC26A7,6
C1orf64,6
DMRT2,6
PIK3C2G,6
CLNK,6
HMX2,6
SLC4A9,6
EZH2,7
TOP2A,7
